year,Globalocean,NorthSea,BalticSea,MediterraneanSea,NorthAtlantic,BlackSea,RunningAvgyear
1870,-0.502668,-0.812254,-1.019776,-0.715031,-0.339012,-0.977276,Yearly means
1871,-0.490561,-1.140127,-1.615676,-0.825611,-0.430333,-1.075288,Yearly means
1872,-0.475923,-0.730073,-0.655242,-0.357485,-0.506113,-0.544802,Yearly means
1873,-0.517649,-0.868545,-1.012095,-0.511297,-0.398467,-0.675843,Yearly means
1874,-0.595945,-0.593438,-0.590883,-0.576514,-0.457948,-0.644755,Yearly means
1875,-0.484437,-0.586741,-0.770073,-0.570601,-0.293681,-1.115124,Yearly means
1876,-0.596859,-0.999493,-1.257803,-0.567974,-0.447195,-0.576469,Yearly means
1877,-0.372639,-1.059438,-1.644623,-0.427828,-0.421741,-0.762884,Yearly means
1878,-0.318824,-0.419498,-0.750054,-0.360594,-0.181899,-0.306527,Yearly means
1879,-0.466795,-1.231844,-1.414296,-0.507698,-0.437407,-0.173105,Yearly means
1880,-0.478322,-0.498371,-0.788549,-0.500527,-0.3268,-0.367938,Yearly means
1881,-0.426848,-1.07321,-1.471737,-0.448225,-0.508331,-0.159135,Yearly means
1882,-0.483763,-0.725804,-0.529772,-0.691918,-0.616931,-0.082148,Yearly means
1883,-0.468552,-0.805875,-0.801742,-0.78043,-0.650834,-0.365843,Yearly means
1884,-0.453989,-0.490719,-0.275349,-0.81504,-0.590081,-0.815238,Yearly means
1885,-0.469655,-1.068572,-0.793539,-0.662349,-0.671101,-0.434079,Yearly means
1886,-0.436247,-1.046815,-0.805329,-0.628157,-0.507431,-0.495214,Yearly means
1887,-0.504038,-1.140542,-1.669246,-0.56042,-0.329366,-0.421779,Yearly means
1888,-0.453588,-1.318893,-1.714838,-0.791674,-0.335921,-1.09364,Yearly means
1889,-0.406461,-0.633062,-0.729601,-0.88705,-0.366995,-0.82079,Yearly means
1890,-0.595423,-0.877987,-0.908742,-0.987647,-0.460035,-0.526064,Yearly means
1891,-0.458994,-1.167085,-1.180557,-0.83398,-0.471411,-0.528415,Yearly means
